Online Status,image,accession_no,accession_year,title,region,creator,year_period,time_category,object_type,technique,material,description,dimension,credit_line,collection_of,item_id,item_url
On Roots,https://www.roots.gov.sg/CollectionImages/1332097.jpg,2016-00297,2016,WWII Japanese Map of Singapore,Japan and Singapore,,1942–1942,20th century (early),,print,paper,"A rare, large coloured pictorial map of Singapore Island during World War II, published by the Tokyo Nichinichi Shimbunsha. It shows resources and military infrastructure including airfield, naval bases, artillery batteries, oil supplies including subterranean, and electrical substations are shown. The waters near the island show mine fields. The railway line from Malaysia and the offshore islands such as Pulau Blakang Mati and Pulau Ubin are also clearly marked out. Even the forests and hills that used to cover much of Singapore are clearly depicted. Tokyo Nichinichi Shimbunsha (Tokyo Daily News Agency), which printed newspapers from 1872 to 1943, published this map on 8 February 1942. Although such material were presented in a manner that heavily favoured Japan, they were also deemed historically important documents.A rare, large coloured pictorial map of Singapore Island during World War II, published by the A rare, large coloured pictorial map of Singapore Island during World War II, published by the Tokyo Nichinichi Shimbunsha. It shows resources and military infrastructure including airfield, naval bases, artillery batteries, oil supplies including subterranean, and electrical substations are shown. The waters near the island show mine fields. The railway line from Malaysia and the offshore islands such as Pulau Blakang Mati and Pulau Ubin are also clearly marked out. Even the forests and hills that used to cover much of Singapore are clearly depicted.Tokyo Nichinichi Shimbunsha (Tokyo Daily News Agency), which printed newspapers from 1872 to 1943, published this map on 8 February 1942. Although such material was presented in a manner that heavily favoured Japan, they are deemed historically important documents.",Image size: 51.0 x 67.3 cm,,National Museum of Singapore,1332097,https://www.roots.gov.sg/Collection-Landing/listing/1332097
On Roots,https://www.roots.gov.sg/CollectionImages/1350850.jpg,2016-00941,2016,"Angsana Tree, Sentosa",Singapore,Robert Zhao Renhui,2013 - 2014,21st century,"Photographic Prints, Digital Fine Art Prints","photographic processes, photographic printing techniques","photographic paper, color (pigment), ink","Angsana Tree, SentosaMohd Yusri Abdullah, 64, gardenerWith its girth of 10.2m, the biggest angsana tree in Singapore stands at the entrance ofShangri La Rasa Sentosa Resort. The tree is believed to be planted in the 1880s by theBritish when the artillery battalion was stationed on Blakang Mati, Sentosa’s old name.For the past 22 years, Mr Yusri has been a caretaker for this tree, regularly checking itsfallen leaves to note if they are spotted, which is a sign of the fatal “Angsana Wilt” fungal disease.",Object size: 126.7 x 90.7 cm,,National Museum of Singapore,1350850,https://www.roots.gov.sg/Collection-Landing/listing/1350850
On Roots,https://www.roots.gov.sg/CollectionImages/1252291.jpg,2011-01054,2011,Panoramic view of New Harbour,Singapore,G R Lambert & Company,1880s,19th century,albumen prints,albumen process,albumen paper,"Lambert's panoramic view of New Harbour offers a unique topographical view of the southern coast of the island from the perspective of one of the southern islands, probably Blakang Mati (Sentosa) today.",Image size: Image Size: H:26.6 x W:131.0 cm Gross measurement: Mount: H:36.6 x W:179.0 cm,,National Museum of Singapore,1252291,https://www.roots.gov.sg/Collection-Landing/listing/1252291
On Roots,https://www.roots.gov.sg/CollectionImages/1017584.jpg,1995-00929-118,1995,The hospital building on Sentosa,Singapore,,c. 1930s-1950s,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Located just off the southern coast of Singapore, Sentosa island was an important base used by the British for the defence of the port of Singapore from 1874, which was the year when work began on the building of a series of forts on the island. The most notable of these forts was Fort Siloso, which has been preserved as a tourist attraction. Then known as Pulau Blakang Mati, a military garrison was permanently stationed on the island to man the various gun emplacements. Various facilities were built for the troops stationed on the island, including a hospital building. This two-storey colonial structure was later used to house the Singapore Wax Museum when the island was converted into a tourist destination in the 1970s. A main attraction of the pioneering museum was the Surrender Chambers, which depicted a scene from the British surrender to the Japanese in 1942. Today, the renovated building houses the Images of Singapore attraction, a revamped version of the wax exhibits of earlier years.",Image size: 7.5 x 10.7 cm Frame size: 8.3 x 11.5 cm,,National Museum of Singapore,1017584,https://www.roots.gov.sg/Collection-Landing/listing/1017584
On Roots,https://www.roots.gov.sg/CollectionImages/1157978.jpg,2008-05059,2008,Sentosa cable car with view of city skyline,Singapore,,c. 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 10.2 x 14.9 cm,,National Museum of Singapore,1157978,https://www.roots.gov.sg/Collection-Landing/listing/1157978
On Roots,https://www.roots.gov.sg/CollectionImages/1156006.jpg,2008-05051,2008,Sentosa cable cars travelling between Mount Faber and Jardine Steps stations,Singapore,,Early 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 10.4 x 14.7 cm,,National Museum of Singapore,1156006,https://www.roots.gov.sg/Collection-Landing/listing/1156006
On Roots,https://www.roots.gov.sg/CollectionImages/1155394.jpg,2008-05058,2008,Sentosa cable cars with view of city skyline,Singapore,,Late 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 10.4 x 14.7 cm,,National Museum of Singapore,1155394,https://www.roots.gov.sg/Collection-Landing/listing/1155394
On Roots,https://www.roots.gov.sg/CollectionImages/1156608.jpg,2008-05063,2008,Sentosa cable cars and Carlton Hill station,Singapore,,Late 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 9.2 x 14.8 cm,,National Museum of Singapore,1156608,https://www.roots.gov.sg/Collection-Landing/listing/1156608
On Roots,https://www.roots.gov.sg/CollectionImages/1157315.jpg,2008-05062,2008,Sentosa cable cars passing above a cruise liner,Singapore,,Late 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 8.9 x 14.6 cm,,National Museum of Singapore,1157315,https://www.roots.gov.sg/Collection-Landing/listing/1157315
On Roots,https://www.roots.gov.sg/CollectionImages/1147276.jpg,2008-05048,2008,Sentosa cable cars and New Ferry Terminal,Singapore,,Late 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 10.5 x 15.5 cm,,National Museum of Singapore,1147276,https://www.roots.gov.sg/Collection-Landing/listing/1147276
